home_team	season	wins	losses	ties	points_for	points_against	pre_wins	pre_losses	pre_ties	pre_points_for	pre_points_against
CAR	2009	8	8	0	315	308	0	4	0	57	89
CAR	2010	2	14	0	196	408	1	3	0	33	52
CAR	2011	6	10	0	406	429	1	3	0	60	87
CAR	2012	7	9	0	357	363	2	2	0	69	72
CHI	2002	4	12	0	281	379	1	3	0	60	92
CHI	2003	7	9	0	283	346	1	3	0	70	98
CHI	2004	5	11	0	231	331	2	2	0	56	64
CHI	2005	11	5	0	260	202	2	2	0	59	62
CHI	2006	13	3	0	427	255	2	2	0	74	61
CHI	2007	7	9	0	334	348	3	1	0	87	90
CHI	2008	9	7	0	375	350	1	3	0	92	100
CHI	2009	7	9	0	327	375	3	1	0	90	70
CHI	2010	11	5	0	334	286	0	4	0	46	84
CHI	2011	8	8	0	353	341	2	2	0	60	72
CHI	2012	10	6	0	375	277	3	1	0	84	99
CIN	2002	2	14	0	279	456	2	2	0	83	85
CIN	2003	8	8	0	346	384	1	3	0	71	82
CIN	2004	8	8	0	374	372	2	2	0	63	73
CIN	2005	11	5	0	421	350	2	2	0	92	67
CIN	2006	8	8	0	373	331	4	0	0	131	54
CIN	2007	7	9	0	380	385	1	3	0	78	84
CIN	2008	4	11	1	204	364	2	2	0	57	64
CIN	2009	10	6	0	305	291	2	2	0	73	54
CIN	2010	4	12	0	322	395	3	1	0	105	96
CIN	2011	9	7	0	344	323	1	3	0	47	91
CIN	2012	10	6	0	391	320	2	2	0	70	72
CLE	2002	9	7	0	344	320	2	2	0	90	85
CLE	2003	5	11	0	254	322	1	3	0	74	95
CLE	2004	4	12	0	276	390	3	1	0	65	63
CLE	2005	6	10	0	232	301	3	1	0	74	56
CLE	2006	4	12	0	238	356	2	2	0	54	73
CLE	2007	10	6	0	402	382	3	1	0	72	60
CLE	2008	4	12	0	232	350	0	4	0	70	103
CLE	2009	5	11	0	245	375	2	2	0	73	70
CLE	2010	5	11	0	271	332	2	2	0	84	88
CLE	2011	4	12	0	218	307	1	3	0	83	95
CLE	2012	5	11	0	302	368	2	2	0	84	82
DAL	2002	5	11	0	217	329	3	1	0	86	68
DAL	2003	10	6	0	289	260	2	2	0	100	47
DAL	2004	6	10	0	293	405	3	1	0	65	75
DAL	2005	9	7	0	325	308	3	1	0	77	52
DAL	2006	9	7	0	425	350	3	0	2	70	27
DAL	2007	13	3	0	455	325	2	2	0	84	81
DAL	2008	9	7	0	362	365	2	2	0	69	86
DAL	2009	11	5	0	361	250	2	2	0	88	92
DAL	2010	6	10	0	394	436	2	2	0	59	79
DAL	2011	8	8	0	369	347	2	2	0	57	77
DAL	2012	8	8	0	376	400	3	1	0	73	60
